result_id	run_id	run_date	SampleName	source	sample	normal/tumor	sampleN	library	library_id	lane_id	partitioning	sample_type	read1	read2	study_id	note
8261501	HGCNNBGXX	2015-08-26	NCIC007_200_E_Normal	NA19735	NCIC007_200_E	Normal		NCIC007_200_E			clin.ex.v1	GenomicDNA	/projects/Clinomics/DATA/Sample_NCIC007_200_E_HGCNNBGXX/Sample_NCIC007_200_E_HGCNNBGXX_R1.fastq.gz	/projects/Clinomics/DATA/Sample_NCIC007_200_E_HGCNNBGXX/Sample_NCIC007_200_E_HGCNNBGXX_R2.fastq.gz	ClinVal	Clinomics
8261502	HGCNNBGXX	2015-08-26	NCIC008_200_E_Normal	NA20502	NCIC008_200_E	Normal		NCIC008_200_E			clin.ex.v1	GenomicDNA	/projects/Clinomics/DATA/Sample_NCIC008_200_E_HGCNNBGXX/Sample_NCIC008_200_E_HGCNNBGXX_R1.fastq.gz	/projects/Clinomics/DATA/Sample_NCIC008_200_E_HGCNNBGXX/Sample_NCIC008_200_E_HGCNNBGXX_R2.fastq.gz	ClinVal	Clinomics
8261503	HGCNNBGXX	2015-08-26	NCIC009_200_E_Normal	NA20845	NCIC009_200_E	Normal		NCIC009_200_E			clin.ex.v1	GenomicDNA	/projects/Clinomics/DATA/Sample_NCIC009_200_E_HGCNNBGXX/Sample_NCIC009_200_E_HGCNNBGXX_R1.fastq.gz	/projects/Clinomics/DATA/Sample_NCIC009_200_E_HGCNNBGXX/Sample_NCIC009_200_E_HGCNNBGXX_R2.fastq.gz	ClinVal	Clinomics
8261504	HGCNNBGXX	2015-08-26	NCIC007_200_P_Normal	NA19735	NCIC007_200_P	Normal		NCIC007_200_P			clin.snv.v1	GenomicDNA	/projects/Clinomics/DATA/Sample_NCIC007_200_P_HGCNNBGXX/Sample_NCIC007_200_P_HGCNNBGXX_R1.fastq.gz	/projects/Clinomics/DATA/Sample_NCIC007_200_P_HGCNNBGXX/Sample_NCIC007_200_P_HGCNNBGXX_R2.fastq.gz	ClinVal	Clinomics
8261505	HGCNNBGXX	2015-08-26	NCIC007_100_P_Normal	NA19735	NCIC007_100_P	Normal		NCIC007_100_P			clin.snv.v1	GenomicDNA	/projects/Clinomics/DATA/Sample_NCIC007_100_P_HGCNNBGXX/Sample_NCIC007_100_P_HGCNNBGXX_R1.fastq.gz	/projects/Clinomics/DATA/Sample_NCIC007_100_P_HGCNNBGXX/Sample_NCIC007_100_P_HGCNNBGXX_R2.fastq.gz	ClinVal	Clinomics
8261506	HGCNNBGXX	2015-08-26	NCIC008_200_P_Normal	NA20502	NCIC008_200_P	Normal		NCIC008_200_P			clin.snv.v1	GenomicDNA	/projects/Clinomics/DATA/Sample_NCIC008_200_P_HGCNNBGXX/Sample_NCIC008_200_P_HGCNNBGXX_R1.fastq.gz	/projects/Clinomics/DATA/Sample_NCIC008_200_P_HGCNNBGXX/Sample_NCIC008_200_P_HGCNNBGXX_R2.fastq.gz	ClinVal	Clinomics
8261507	HGCNNBGXX	2015-08-26	NCIC008_100_P_Normal	NA20502	NCIC008_100_P	Normal		NCIC008_100_P			clin.snv.v1	GenomicDNA	/projects/Clinomics/DATA/Sample_NCIC008_100_P_HGCNNBGXX/Sample_NCIC008_100_P_HGCNNBGXX_R1.fastq.gz	/projects/Clinomics/DATA/Sample_NCIC008_100_P_HGCNNBGXX/Sample_NCIC008_100_P_HGCNNBGXX_R2.fastq.gz	ClinVal	Clinomics
8261508	HGCNNBGXX	2015-08-26	NCIC009_200_P_Normal	NA20845	NCIC009_200_P	Normal		NCIC009_200_P			clin.snv.v1	GenomicDNA	/projects/Clinomics/DATA/Sample_NCIC009_200_P_HGCNNBGXX/Sample_NCIC009_200_P_HGCNNBGXX_R1.fastq.gz	/projects/Clinomics/DATA/Sample_NCIC009_200_P_HGCNNBGXX/Sample_NCIC009_200_P_HGCNNBGXX_R2.fastq.gz	ClinVal	Clinomics
8261509	HGCNNBGXX	2015-08-26	NCIC009_100_P_Normal	NA20845	NCIC009_100_P	Normal		NCIC009_100_P			clin.snv.v1	GenomicDNA	/projects/Clinomics/DATA/Sample_NCIC009_100_P_HGCNNBGXX/Sample_NCIC009_100_P_HGCNNBGXX_R1.fastq.gz	/projects/Clinomics/DATA/Sample_NCIC009_100_P_HGCNNBGXX/Sample_NCIC009_100_P_HGCNNBGXX_R2.fastq.gz	ClinVal	Clinomics
8261510	HH3F2BGXX	2015-08-26	NCIC0010_200_E_Normal	NA21732	NCIC0010_200_E	Normal		NCIC0010_200_E			clin.ex.v1	GenomicDNA	/projects/Clinomics/DATA/Sample_NCIC0010_200_E_HH3F2BGXX/Sample_NCIC0010_200_E_HH3F2BGXX_R1.fastq.gz	/projects/Clinomics/DATA/Sample_NCIC0010_200_E_HH3F2BGXX/Sample_NCIC0010_200_E_HH3F2BGXX_R2.fastq.gz	ClinVal	Clinomics
